time,open,high,low,close,tick_volume,spread
2022-08-22 05:00:00,1.18303,1.18359,1.1825,1.18252,1290,8
2022-08-22 06:00:00,1.18254,1.18275,1.18113,1.18119,3576,8
2022-08-22 07:00:00,1.1812,1.18171,1.17858,1.17937,4844,8
2022-08-22 08:00:00,1.17938,1.18189,1.17819,1.18121,5364,8
2022-08-22 09:00:00,1.18122,1.18187,1.17949,1.18145,3465,8
2022-08-22 10:00:00,1.18143,1.1819,1.17992,1.18034,3753,8
2022-08-22 11:00:00,1.18037,1.18108,1.1789,1.18045,3545,8
2022-08-22 12:00:00,1.18046,1.18221,1.17998,1.18181,3947,8
2022-08-22 13:00:00,1.18182,1.18261,1.17775,1.17788,5152,8
2022-08-22 14:00:00,1.17785,1.17924,1.17728,1.17887,5733,8
2022-08-22 15:00:00,1.17889,1.17912,1.17418,1.17489,4166,8
2022-08-22 16:00:00,1.1749,1.17837,1.17486,1.17748,3016,8
2022-08-22 17:00:00,1.17746,1.17753,1.17544,1.17546,2117,8
2022-08-22 18:00:00,1.17549,1.17625,1.17513,1.17521,1636,8
2022-08-22 19:00:00,1.17522,1.17674,1.17521,1.1764,1494,8
2022-08-22 20:00:00,1.17642,1.17682,1.17628,1.17639,464,8
2022-08-22 21:00:00,1.17595,1.17617,1.17548,1.17603,238,59
2022-08-22 22:00:00,1.17631,1.17677,1.17605,1.17673,291,40
2022-08-22 23:00:00,1.17687,1.17696,1.17603,1.17649,514,12
2022-08-23 00:00:00,1.17652,1.17817,1.1757,1.17741,2507,8
2022-08-23 01:00:00,1.17738,1.17848,1.17652,1.1773,2145,8
2022-08-23 02:00:00,1.17729,1.1774,1.17653,1.17719,1573,8
2022-08-23 03:00:00,1.17718,1.17754,1.17665,1.17712,1325,8
2022-08-23 04:00:00,1.17709,1.17746,1.17631,1.17634,926,8
2022-08-23 05:00:00,1.17631,1.17656,1.17455,1.17459,2027,8
2022-08-23 06:00:00,1.17458,1.17473,1.17162,1.17277,4002,8
2022-08-23 07:00:00,1.17278,1.17778,1.17277,1.17646,7071,8
2022-08-23 08:00:00,1.17648,1.17776,1.17416,1.17771,5343,8
2022-08-23 09:00:00,1.1777,1.17822,1.17536,1.17765,3820,8
2022-08-23 10:00:00,1.17764,1.17801,1.17454,1.17628,3347,8
2022-08-23 11:00:00,1.17629,1.17786,1.17605,1.17674,3392,8
2022-08-23 12:00:00,1.17675,1.17749,1.1749,1.17644,4999,8
2022-08-23 13:00:00,1.17643,1.1849,1.17566,1.18424,10773,8
2022-08-23 14:00:00,1.18428,1.18774,1.1822,1.18517,12096,8
2022-08-23 15:00:00,1.18518,1.18737,1.1841,1.18437,5511,8
2022-08-23 16:00:00,1.18436,1.18526,1.18339,1.18479,3143,8
2022-08-23 17:00:00,1.1848,1.18499,1.18193,1.18208,3232,8
2022-08-23 18:00:00,1.18208,1.18278,1.18163,1.18163,2342,8
2022-08-23 19:00:00,1.18167,1.18312,1.18163,1.18285,1916,8
2022-08-23 20:00:00,1.18287,1.1836,1.18282,1.18298,620,8
2022-08-23 21:00:00,1.18252,1.18296,1.18214,1.18275,379,77
2022-08-23 22:00:00,1.18306,1.18357,1.183,1.18355,243,40
2022-08-23 23:00:00,1.18369,1.18376,1.18244,1.18294,770,12
2022-08-24 00:00:00,1.18296,1.1835,1.18123,1.18127,2341,8
2022-08-24 01:00:00,1.18129,1.18191,1.18043,1.18109,2584,8
2022-08-24 02:00:00,1.18107,1.18172,1.17986,1.17992,1717,8
2022-08-24 03:00:00,1.17992,1.18078,1.17992,1.18078,1164,8
2022-08-24 04:00:00,1.1808,1.18274,1.18052,1.18244,1346,8
2022-08-24 05:00:00,1.18242,1.18299,1.18075,1.18088,1530,8
2022-08-24 06:00:00,1.18091,1.18195,1.18005,1.18163,3211,8
2022-08-24 07:00:00,1.18166,1.18334,1.18084,1.18268,4660,8
2022-08-24 08:00:00,1.1827,1.18327,1.18184,1.1822,3616,8
2022-08-24 09:00:00,1.18223,1.18259,1.17995,1.18056,3531,8
2022-08-24 10:00:00,1.18053,1.18056,1.17708,1.17751,3559,8
2022-08-24 11:00:00,1.17749,1.17927,1.17674,1.17763,4230,8
2022-08-24 12:00:00,1.17764,1.17934,1.17576,1.1772,6387,8
2022-08-24 13:00:00,1.17722,1.17775,1.17552,1.17658,6952,8
2022-08-24 14:00:00,1.1766,1.1823,1.17555,1.18173,9385,8
2022-08-24 15:00:00,1.18172,1.18252,1.17908,1.18002,5112,8
2022-08-24 16:00:00,1.18004,1.18058,1.1779,1.17847,3119,8
2022-08-24 17:00:00,1.17843,1.17913,1.17806,1.17888,2382,8
2022-08-24 18:00:00,1.17888,1.17981,1.17854,1.17866,1413,8
2022-08-24 19:00:00,1.17868,1.18013,1.17859,1.1799,1507,8
2022-08-24 20:00:00,1.17989,1.17994,1.17908,1.17927,536,8
2022-08-24 21:00:00,1.17897,1.17938,1.17857,1.17913,282,62
2022-08-24 22:00:00,1.17923,1.17962,1.1791,1.17912,279,40
2022-08-24 23:00:00,1.17927,1.17952,1.17889,1.17899,488,12
2022-08-25 00:00:00,1.17902,1.18148,1.17833,1.18116,2340,8
2022-08-25 01:00:00,1.18114,1.18248,1.18033,1.18162,2431,8
2022-08-25 02:00:00,1.18164,1.18232,1.18095,1.18143,1664,8
2022-08-25 03:00:00,1.1814,1.18221,1.18124,1.1817,1256,8
2022-08-25 04:00:00,1.18171,1.18413,1.18151,1.18344,1806,8
2022-08-25 05:00:00,1.18343,1.18483,1.18258,1.18309,1831,8
2022-08-25 06:00:00,1.18307,1.18604,1.18259,1.18493,5396,8
2022-08-25 07:00:00,1.18492,1.1864,1.18331,1.18416,5489,8
2022-08-25 08:00:00,1.18419,1.1855,1.18247,1.18436,4184,8
2022-08-25 09:00:00,1.18435,1.18565,1.18289,1.18344,3907,8
2022-08-25 10:00:00,1.18343,1.1838,1.18212,1.18248,3114,8
2022-08-25 11:00:00,1.18251,1.18502,1.1822,1.18349,4161,8
2022-08-25 12:00:00,1.18348,1.18387,1.18087,1.18198,6171,8
2022-08-25 13:00:00,1.18196,1.18212,1.17926,1.18062,5868,8
2022-08-25 14:00:00,1.1806,1.18499,1.18043,1.1825,6236,8
2022-08-25 15:00:00,1.18252,1.18259,1.17975,1.18013,4873,8
2022-08-25 16:00:00,1.18015,1.18242,1.1794,1.18201,3179,8
2022-08-25 17:00:00,1.18202,1.18366,1.18175,1.18315,2807,8
2022-08-25 18:00:00,1.18314,1.18383,1.18178,1.18265,2147,8
2022-08-25 19:00:00,1.18264,1.18375,1.18249,1.18351,1553,8
2022-08-25 20:00:00,1.18349,1.18383,1.18285,1.18314,657,8
2022-08-25 21:00:00,1.18301,1.18355,1.18249,1.18347,345,40
2022-08-25 22:00:00,1.18348,1.18357,1.18326,1.18328,100,40
2022-08-25 23:00:00,1.18341,1.18341,1.18217,1.18224,550,12
2022-08-26 00:00:00,1.18226,1.18247,1.18056,1.18138,1722,8
2022-08-26 01:00:00,1.18136,1.18223,1.18128,1.18179,1953,8
2022-08-26 02:00:00,1.18177,1.18253,1.18165,1.18234,1038,8
2022-08-26 03:00:00,1.18232,1.18311,1.18198,1.18255,1070,8
2022-08-26 04:00:00,1.18257,1.18257,1.18075,1.18085,1342,8
2022-08-26 05:00:00,1.18087,1.18098,1.18009,1.18034,1363,8
2022-08-26 06:00:00,1.18035,1.18097,1.1782,1.17887,3241,8
2022-08-26 07:00:00,1.17886,1.17981,1.17748,1.17931,4338,8
2022-08-26 08:00:00,1.17932,1.18022,1.17756,1.18008,3718,8
2022-08-26 09:00:00,1.18007,1.18365,1.18005,1.18332,3635,8
2022-08-26 10:00:00,1.18331,1.18448,1.18251,1.18356,3000,8
2022-08-26 11:00:00,1.18355,1.18382,1.18143,1.18177,2906,8
2022-08-26 12:00:00,1.18176,1.18539,1.18167,1.1853,8616,8
2022-08-26 13:00:00,1.18529,1.1882,1.185,1.18714,9652,8
2022-08-26 14:00:00,1.18705,1.19004,1.17876,1.1791,21752,8
2022-08-26 15:00:00,1.17907,1.17937,1.17506,1.17752,7723,8
2022-08-26 16:00:00,1.1775,1.1786,1.17453,1.17532,4708,8
2022-08-26 17:00:00,1.1753,1.1757,1.17439,1.17545,2896,8
2022-08-26 18:00:00,1.17544,1.17573,1.17388,1.1743,2652,8
2022-08-26 19:00:00,1.17426,1.1745,1.17332,1.1736,2737,8
2022-08-26 20:00:00,1.17357,1.17418,1.17331,1.1739,1173,8
2022-08-28 00:00:00,1.17283,1.17305,1.16833,1.16881,2026,0
2022-08-28 21:00:00,1.17283,1.17294,1.17232,1.1724,124,124
2022-08-28 22:00:00,1.17281,1.17305,1.17091,1.171,373,40
2022-08-28 23:00:00,1.17114,1.17132,1.16833,1.16881,1528,12
2022-08-29 00:00:00,1.16883,1.17,1.16749,1.16781,3543,8
2022-08-29 01:00:00,1.16784,1.16857,1.16552,1.16703,3961,8
2022-08-29 02:00:00,1.16702,1.16771,1.16631,1.16741,2324,8
2022-08-29 03:00:00,1.16742,1.16757,1.16628,1.16674,1509,8
2022-08-29 04:00:00,1.16671,1.167,1.16517,1.16541,1756,8
2022-08-29 05:00:00,1.16539,1.1666,1.1648,1.16641,2559,8
2022-08-29 06:00:00,1.16638,1.16768,1.16583,1.16665,3646,8
2022-08-29 07:00:00,1.16663,1.1682,1.16643,1.16725,5611,8
2022-08-29 08:00:00,1.16723,1.16785,1.16558,1.1658,4113,8
2022-08-29 09:00:00,1.16579,1.16918,1.16565,1.16863,3569,8
2022-08-29 10:00:00,1.16865,1.17046,1.16769,1.1693,4162,8
2022-08-29 11:00:00,1.16928,1.17044,1.16799,1.1699,4310,8
2022-08-29 12:00:00,1.16988,1.17337,1.16874,1.17166,6335,8
2022-08-29 13:00:00,1.17164,1.1734,1.17045,1.17197,6601,8
2022-08-29 14:00:00,1.17195,1.17435,1.16857,1.16914,6799,8
2022-08-29 15:00:00,1.16917,1.17138,1.16912,1.17138,3695,8
2022-08-29 16:00:00,1.17139,1.17224,1.17083,1.1722,3218,8
2022-08-29 17:00:00,1.17219,1.17289,1.17148,1.17172,2415,8
2022-08-29 18:00:00,1.17171,1.17218,1.16982,1.17018,2735,8
2022-08-29 19:00:00,1.17017,1.17092,1.16993,1.17041,1857,8
2022-08-29 20:00:00,1.17039,1.17057,1.16992,1.1704,379,8
2022-08-29 21:00:00,1.17001,1.17037,1.16967,1.17034,309,47
2022-08-29 22:00:00,1.17041,1.17094,1.17017,1.17067,241,40
2022-08-29 23:00:00,1.17081,1.17228,1.17046,1.17211,817,12
2022-08-30 00:00:00,1.17212,1.17253,1.17048,1.17162,2162,8
2022-08-30 01:00:00,1.1716,1.17265,1.16988,1.16988,3105,8
2022-08-30 02:00:00,1.1699,1.16999,1.1687,1.16918,2051,8
2022-08-30 03:00:00,1.16919,1.17014,1.1688,1.1701,1571,8
2022-08-30 04:00:00,1.17009,1.17141,1.1699,1.17048,1713,8
2022-08-30 05:00:00,1.17047,1.17116,1.1698,1.17067,1680,8
2022-08-30 06:00:00,1.17069,1.17206,1.1698,1.17155,5108,8
2022-08-30 07:00:00,1.17153,1.17438,1.17082,1.17349,6798,8
2022-08-30 08:00:00,1.1735,1.17518,1.17334,1.17377,4763,8
2022-08-30 09:00:00,1.17376,1.176,1.17276,1.17336,4544,8
2022-08-30 10:00:00,1.17337,1.17359,1.17105,1.1716,3685,8
2022-08-30 11:00:00,1.17159,1.17338,1.17036,1.17162,4133,8
2022-08-30 12:00:00,1.17163,1.17196,1.16878,1.16983,5680,8
2022-08-30 13:00:00,1.16982,1.17219,1.16889,1.16949,7480,8
2022-08-30 14:00:00,1.16947,1.16947,1.16208,1.16321,9417,8
2022-08-30 15:00:00,1.1632,1.16718,1.16292,1.16501,8307,8
2022-08-30 16:00:00,1.16503,1.1666,1.16471,1.16504,5273,8
2022-08-30 17:00:00,1.16506,1.16629,1.16463,1.1654,2973,8
2022-08-30 18:00:00,1.16539,1.16653,1.16528,1.1658,3146,8
2022-08-30 19:00:00,1.16578,1.16696,1.165,1.16546,2740,8
2022-08-30 20:00:00,1.1655,1.1658,1.16524,1.16528,455,8
2022-08-30 21:00:00,1.16511,1.16518,1.16449,1.16511,216,55
2022-08-30 22:00:00,1.16531,1.16545,1.16506,1.16526,205,40
2022-08-30 23:00:00,1.1654,1.16603,1.16521,1.1658,575,12
2022-08-31 00:00:00,1.16581,1.16748,1.16537,1.16668,1984,8
2022-08-31 01:00:00,1.16667,1.16718,1.166,1.16629,2231,8
2022-08-31 02:00:00,1.1663,1.1673,1.16594,1.1669,1439,8
2022-08-31 03:00:00,1.16692,1.16774,1.16631,1.1677,1400,8
2022-08-31 04:00:00,1.16768,1.16915,1.16767,1.16838,1395,8
2022-08-31 05:00:00,1.16837,1.16934,1.16814,1.16884,1782,8
2022-08-31 06:00:00,1.16882,1.16904,1.16703,1.16792,3559,8
2022-08-31 07:00:00,1.1679,1.16814,1.16409,1.16409,5419,8
2022-08-31 08:00:00,1.16408,1.16565,1.16354,1.16407,5533,8
2022-08-31 09:00:00,1.16408,1.16503,1.16222,1.16232,4964,8
2022-08-31 10:00:00,1.16231,1.16358,1.16125,1.16133,4968,8
2022-08-31 11:00:00,1.16135,1.16364,1.16135,1.16222,4400,8
2022-08-31 12:00:00,1.16225,1.1641,1.16014,1.1637,6452,8
2022-08-31 13:00:00,1.16373,1.16498,1.15988,1.16099,7427,8
2022-08-31 14:00:00,1.16096,1.16525,1.16009,1.16372,10240,8
2022-08-31 15:00:00,1.16374,1.1653,1.16269,1.16419,7583,8
2022-08-31 16:00:00,1.16421,1.16447,1.16184,1.16248,3622,8
2022-08-31 17:00:00,1.1625,1.16292,1.1607,1.16168,3016,8
2022-08-31 18:00:00,1.16169,1.16299,1.1614,1.16144,3221,8
